weekday,shift,station,operator_id,last_station,total,ng_count,avg_cycle_time,first_date,last_date,ng_rate,is_anomaly,reason
Monday,Morning,M326,,Str5,1,0,38.0,2025-05-19 13:18:59,2025-05-19 13:18:59,0.0,False,⚠️ Pochi moduli
Monday,Morning,M326,041966800000,Str1,2,2,3898.0,2025-05-19 06:48:03,2025-05-19 06:48:03,1.0,False,🔴 Scarto: 100% | 🐢 Ciclo: 3898s | ⚠️ Pochi moduli
Monday,Morning,M326,041969600000,Str1,4,1,1896.25,2025-05-19 08:03:26,2025-05-19 11:06:01,0.25,False,🔴 Scarto: 25% | 🐢 Ciclo: 1896s | ⚠️ Pochi moduli
Monday,Morning,M326,041969600000,Str3,1,0,544.0,2025-05-19 10:56:29,2025-05-19 10:56:29,0.0,False,🐢 Ciclo: 544s | ⚠️ Pochi moduli
Monday,Morning,M326,041969600000,Str5,2,0,3963.0,2025-05-19 09:23:05,2025-05-19 11:32:22,0.0,False,🐢 Ciclo: 3963s | ⚠️ Pochi moduli
Monday,Night,M308,BADGE SYS DISABLED,Str1,68,14,97.45588235294117,2025-05-19 00:10:54,2025-05-19 23:56:43,0.20588235294117646,False,🔴 Scarto: 21%
Monday,Night,M308,BADGE SYS DISABLED,Str5,71,13,99.05633802816901,2025-05-19 00:02:45,2025-05-19 23:55:27,0.18309859154929578,False,
Monday,Night,M309,BADGE SYS DISABLED,Str1,11,2,48.0,2025-05-19 02:37:01,2025-05-19 03:02:12,0.18181818181818182,False,
Monday,Night,M309,BADGE SYS DISABLED,Str5,21,10,104.80952380952381,2025-05-19 02:26:26,2025-05-19 23:55:55,0.47619047619047616,False,🔴 Scarto: 48%
Monday,Night,M326,,Str5,5,5,233.0,2025-05-19 23:54:52,2025-05-19 23:54:52,1.0,False,🔴 Scarto: 100% | 🐢 Ciclo: 233s
Monday,Night,M326,041705200000,Str1,3,3,410.0,2025-05-19 23:59:20,2025-05-19 23:59:20,1.0,False,🔴 Scarto: 100% | 🐢 Ciclo: 410s | ⚠️ Pochi moduli
